PN_NR;BEZEICHNUNG;MANUELLE_BUCHUNGEN;Aenderung_Release
0096;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0097;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0098;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0099;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0100;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0101;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0102;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0103;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0104;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0105;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0106;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0107;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0108;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0109;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0110;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0111;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0112;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0113;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0114;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0115;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0116;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0117;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0118;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0119;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0120;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0121;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0122;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0123;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0124;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0125;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0126;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0127;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0128;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0129;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0130;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0131;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0132;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0133;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0134;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0135;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0136;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0137;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0138;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0139;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0140;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0141;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0142;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0143;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0144;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0145;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0146;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0147;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0148;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0149;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0150;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0151;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0152;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0153;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0154;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0155;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0156;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0157;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0158;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0159;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0160;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0161;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0162;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0163;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0164;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0165;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0166;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0167;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0168;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0169;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0170;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0171;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0172;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0173;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0174;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0175;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0176;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0177;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0178;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0179;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0180;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0181;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0182;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0183;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0184;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0185;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0186;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0187;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0188;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0189;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0190;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0191;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0192;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0193;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0194;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0195;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0196;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0197;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0198;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0199;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0200;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0201;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0202;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0203;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0204;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0205;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0206;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0207;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0208;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0209;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0210;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0211;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0212;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0213;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0214;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0215;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0216;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0217;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0218;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0219;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0220;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0221;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0222;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0223;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0224;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0225;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0226;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0227;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0228;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0229;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0230;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0231;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0232;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0233;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0234;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0235;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0236;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0237;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0238;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0239;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0240;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0241;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0242;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0243;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0244;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0245;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0246;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
0247;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
